doc_n,date,title
2019129991.0,2021-03-23,"СПОСОБ ОБУЧЕНИЯ ИНОСТРАННЫМ ЯЗЫКАМ ""ИНТЕЛЛЕКТУАЛЬНАЯ РАЗМИНКА ЩЕВАЕВА"""
2019112490.0,2020-10-26,Способ дистанционного обучения и/или контроля действий хирурга в процессе робот-ассистированной операции в режиме реального времени
2017108356.0,2018-09-13,Способ развития интеллектуальных способностей человека
2021118662.0,2022-12-27,Способ комплексного обучения финансовой грамотности
2017121679.0,2018-12-24,Способ проведения дистанционных лабораторных практикумов для обучения практическим основам технических дисциплин и естественных наук
2018125970.0,2020-01-13,Способ моделирования асептического перитонита
2022113293.0,2022-12-15,ВИРТУАЛЬНЫЙ ЭПИДУРАЛЬНЫЙ СИМУЛЯТОР
2020111878.0,2021-09-23,Учебный класс радиосвязи и телеграфной азбуки
2021113547.0,2022-11-14,АВТОМАТИЗИРОВАННОЕ РАБОЧЕЕ МЕСТО ДЛЯ ОБУЧЕНИЯ СУТОЧНОГО НАРЯДА
2019140934.0,2021-06-11,МОДЕЛИРОВАНИЕ ОРГАНОВ УПРАВЛЕНИЯ КАБИНЫ ПИЛОТОВ
2018115319.0,2019-10-25,"СРЕДСТВО, ВЫЗЫВАЮЩЕЕ АТРОФИЮ САРКОМЫ И ЗАМЕЩЕНИЕ ОПУХОЛЕВОЙ ТКАНИ СОЕДИНИТЕЛЬНОЙ В ЭКСПЕРИМЕНТАХ IN VIVO"
2018128141.0,2020-02-03,"СИМУЛЯТОР ПОДЪЕМНОГО КРАНА, СТРОИТЕЛЬНОЙ МАШИНЫ ИЛИ ВИЛОЧНОГО ПОГРУЗЧИКА"
2020116236.0,2021-11-19,Лапароскопический тренажер
2022110258.0,2022-07-06,НЕЙРОХИРУРГИЧЕСКИЙ ТРЕНАЖЁР
2020100779.0,2021-07-09,"Способ отбора и компьютерного обучения студентов по дисциплине ""Топографическая анатомия"""
2022110261.0,2022-06-30,НЕЙРОХИРУРГИЧЕСКИЙ ТРЕНЕЖЁР ДЛЯ ОТРАБОТКИ ТРАНСНАЗАЛЬНОГО ЭНДОСКОПИЧЕСКОГО ДОСТУПА
2017122708.0,2018-12-28,СПОСОБ ОБУЧЕНИЯ ОПЕРАТОРОВ БЕСПИЛОТНЫХ ЛЕТАТЕЛЬНЫХ АППАРАТОВ
2017127423.0,2019-01-31,СПОСОБ ПРОФИЛАКТИКИ ОБРАЗОВАНИЯ СПАЕК В БРЮШНОЙ ПОЛОСТИ В ЭКСПЕРИМЕНТЕ
2017106024.0,2018-08-28,Способ изучения букв русского алфавита и чтения слов
2017123722.0,2019-01-10,ЕДИНАЯ СИСТЕМА РАСПРЕДЕЛЕНИЯ ЭЛЕКТРОННОГО УЧЕБНОГО ПОСОБИЯ ДЛЯ СРЕДНЕГО ПРОФЕССИОНАЛЬНО-ТЕХНИЧЕСКОГО ОБРАЗОВАНИЯ
2017137421.0,2019-04-25,Способ обучения английскому языку и игра для обучения
2016126827.0,2018-01-12,УСТАНОВКА ДЛЯ РЕШЕНИЯ ТРЕТЬЕГО УРАВНЕНИЯ МАКСВЕЛЛА
2017127599.0,2019-02-04,Способ мониторинга действий обучающихся на практических занятиях по вождению боевых машин
2017144034.0,2019-06-17,Способ предупреждения гибели дофаминергических нейронов головного мозга у мышей линии СВА при лечении спонтанных гепатокарцином
2017146132.0,2019-06-27,СПОСОБ МОДЕЛИРОВАНИЯ АЛКОГОЛЬ-ИНДУЦИРОВАННОГО ЭКСПЕРИМЕНТАЛЬНОГО ЦИРРОЗА ПЕЧЕНИ
2018141850.0,2019-01-09,Устройство для изучения рекуперативного торможения
2017129265.0,2018-02-20,СИСТЕМА ОЦЕНКИ ПЕДАГОГИЧЕСКОЙ КВАЛИФИКАЦИИ ПРЕПОДАВАТЕЛЯ ВУЗА
2016135135.0,2018-03-01,Система критериально-ориентированного тестирования
2017139933.0,2019-05-16,СПОСОБ КОРРЕКЦИИ ADMA-ПОДОБНОЙ ПРЕЭКЛАМПСИИ
2017138844.0,2019-05-07,Филологический конструктор
2017111273.0,2018-10-04,НОСИМЫЙ ХИРУРГИЧЕСКИЙ ИМИТАТОР ЧАСТНОЙ ЗАДАЧИ
2018110785.0,2019-09-26,Способ обучения и усвоения учебного материала
2016145857.0,2018-05-23,СПОСОБ МОДЕЛИРОВАНИЯ ЭКСПЕРИМЕНТАЛЬНОГО ЦИРРОЗА ПЕЧЕНИ
2020104247.0,2020-04-27,УСТРОЙСТВО СИСТЕМЫ ДАС ДЛЯ ЭКСТРЕМАЛЬНЫХ ТРЕНИРОВОК
2019100729.0,2020-07-13,Применение легкого живой свиньи в качестве имитатора легкого человека при отработке навыков торакоскопических сегментэктомий
2019104043.0,2020-08-13,Способ обучения иностранному языку
