doc_n,date,title
2016138774.0,2018-04-04,Многоэтажный жилой дом
2017132351.0,2019-03-15,АКУСТИЧЕСКИЙ ЭКРАН
2018128722.0,2020-02-06,СПОСОБ УСТРОЙСТВА ПОДВЕСНЫХ СТРОИТЕЛЬНЫХ ЛЕСОВ
2018104481.0,2019-08-06,АКУСТИЧЕСКИЙ ЭКРАН ДЛЯ ПРОИЗВОДСТВЕННЫХ ПОМЕЩЕНИЙ
2017125700.0,2019-01-18,ЗАЩИТНОЕ УСТРОЙСТВО ОПОРЫ ТРУБОПРОВОДА
2018120878.0,2019-12-09,ДОРОЖНАЯ КОНСТРУКЦИЯ
2017116409.0,2018-10-17,Ковш повышенной вместимости строительной машины
2017143397.0,2019-06-14,ЗАСЫПНОЙ МАТЕРИАЛ ДЛЯ ДОРОЖНОГО СТРОИТЕЛЬСТВА
2017114518.0,2018-10-29,СТРОИТЕЛЬНАЯ СМЕСЬ
2017114384.0,2018-11-06,Облегченный эластичный бетонный слой основания с повторно используемой резиной из использованных шин с пониженным ударным шумом при хотьбе
2018132989.0,2020-03-25,СОЕДИНИТЕЛЬНОЕ УСТРОЙСТВО МЕЖДУ ЛОТКОМ И ЛИВНЕСПУСКОМ
2020106657.0,2020-04-03,Санузел и способ его эксплуатации
2018125476.0,2020-01-16,ТОЧКА ПОДКЛЮЧЕНИЯ ПОДАЧИ БЫТОВОЙ ГОРЯЧЕЙ ВОДЫ
2016150669.0,2018-06-22,Внутренний узел лестницы для ступицы ротора ветровой турбины
2019104990.0,2020-08-21,МЕХАНИЗМ СЛИВА ВОДЫ С СИСТЕМОЙ БЛОКИРОВКИ ТЯГОВОГО СТЕРЖНЯ
2017126634.0,2019-01-28,УСТРОЙСТВО ДЛЯ СМЫВА ДЛЯ ЧАШИ УНИТАЗА С РЕГУЛЯТОРОМ СКОРОСТИ ПОТОКА
2018120647.0,2018-07-16,Комбоунитаз и содержащий его санузел
2018147288.0,2020-06-29,Способ обследования тоннельных канализационных коллекторов с применением беспилотных летательных аппаратов
2017126642.0,2019-01-28,ЧАША УНИТАЗА С ПЕРЕДНЕЙ СИСТЕМОЙ СМЫВА
2018122175.0,2018-08-02,Смывной бачок и содержащий его унитаз
2018133925.0,2020-03-25,УСТРОЙСТВО КАНАЛИЗАЦИИ МНОГОЭТАЖНОГО ДОМА
2019142754.0,2020-02-13,Унитаз
2020102650.0,2020-04-13,Унитаз
2016144742.0,2018-05-16,СИСТЕМА ВОДОСНАБЖЕНИЯ
2020100545.0,2020-03-02,Унитаз
2020104998.0,2020-04-02,Смывной бачок и содержащий его унитаз
2016134458.0,2018-03-01,САМОВСАСЫВАЮЩИЙ ГИДРОПОРШНЕВОЙ АГРЕГАТ ДЛЯ ПЕРЕКАЧКИ ВОДЫ
2020113175.0,2020-08-04,Унитаз
2018127095.0,2020-01-23,Устройство для получения пресной воды из атмосферного воздуха
2016138804.0,2018-04-03,СПОСОБ УДАЛЕНИЯ ФЕКАЛЬНЫХ ПАРОВ ИЗ ЧАШИ УНИТАЗА В КАНАЛИЗАЦИЮ И УСТРОЙСТВО ДЛЯ ЕГО РЕАЛИЗАЦИИ
2019100570.0,2020-07-14,ПИССУАР
2016144857.0,2018-05-15,УНИТАЗ С ОБРАТНЫМ КЛАПАНОМ
2017108645.0,2018-09-17,Способ оценки результативности строительно-монтажных работ при перепрофилировании промышленных объектов
2017127234.0,2018-02-16,СПОСОБЫ УПРАВЛЕНИЯ ИСТЕЧЕНИЕМ ВОДЫ И УСТРОЙСТВО ДЛЯ ИХ ОСУЩЕСТВЛЕНИЯ
2016140871.0,2018-05-10,"ЗАМОК, ОБОРУДОВАННЫЙ РУЧКОЙ"
2017108641.0,2018-09-17,КОМПЛЕКТ САНУЗЛА
2018132744.0,2020-03-17,УСТРОЙСТВО ТУАЛЕТА
2017116139.0,2018-11-06,Автоматический регулятор гидравлического режима тепловой сети
2018129341.0,2020-03-03,ДУШЕВОЕ УСТРОЙСТВО
2019145669.0,2020-02-25,Унитаз
2016138805.0,2018-04-04,УСТРОЙСТВО УДАЛЕНИЯ ФЕКАЛЬНЫХ ПАРОВ ИЗ ЧАШИ УНИТАЗА В КАНАЛИЗАЦИЮ И СПОСОБ ОПОРОЖНЕНИЯ СИФОНА В УСТРОЙСТВЕ
2017132887.0,2019-03-25,"СИСТЕМА ДЛЯ ПРЕДОСТАВЛЕНИЯ ГИГИЕНИЧЕСКОЙ ДОБАВКИ И САНТЕХНИЧЕСКОЕ ИЗДЕЛИЕ, ИМЕЮЩЕЕ УКАЗАННУЮ СИСТЕМУ"
2020103897.0,2020-04-14,Унитаз
2017145774.0,2019-06-26,Способ получения воды из атмосферного воздуха и установка для его реализации
2017145772.0,2019-06-26,Способ получения воды из атмосферного воздуха и установка для его реализации
2020106265.0,2020-04-27,Санузел и способ его эксплуатации
2017126615.0,2019-01-28,МОНТАЖНЫЙ КОМПЛЕКТ ДЛЯ БАЧКА И СПОСОБ ЕГО МОНТАЖА
2017112260.0,2018-10-11,СПОСОБ УПРАВЛЕНИЯ ЗАПАСОМ ВОДЫ
2017106561.0,2018-08-30,УСТРОЙСТВО ДЛЯ ПОЛУЧЕНИЯ ПРЕСНОЙ ВОДЫ ИЗ АТМОСФЕРНОГО ВОЗДУХА
2017106566.0,2018-08-30,УСТРОЙСТВО ДЛЯ ПОЛУЧЕНИЯ ПРЕСНОЙ ВОДЫ ИЗ АТМОСФЕРНОГО ВОЗДУХА
2017111846.0,2018-10-09,Физиологически правильный унитаз Фокина
2016133944.0,2018-04-26,УСТРОЙСТВО ДЛЯ АВТОМАТИЧЕСКОЙ ОЧИСТКИ ТУАЛЕТА
2016126420.0,2018-01-12,СПОСОБ РЕМОНТА КАНАЛИЗАЦИОННЫХ КОЛОДЦЕВ
2017112544.0,2018-10-15,"СПОСОБ ИЗМЕНЕНИЯ СОСТОЯНИЯ СИФОНА С ГИДРОЗАТВОРОМ, СПОСОБ И ДВА УСТРОЙСТВА ДЛЯ УДАЛЕНИЯ ФЕКАЛЬНЫХ ПАРОВ ИЗ ЧАШИ УНИТАЗА В КАНАЛИЗАЦИЮ"
2018112940.0,2018-05-20,Санузел с системой охлаждения и способ его эксплуатации
2016133017.0,2018-02-14,УНИТАЗ СО СМЫВОМ С ФУНКЦИЕЙ ДЕЗОДОРАЦИИ
2017111624.0,2018-10-10,"ОБОДКОВЫЕ БЛОКИ ДЛЯ УНИТАЗА И ЧИСТЯЩИЕ ИЗДЕЛИЯ, А ТАКЖЕ СПОСОБЫ ВЫПОЛНЕНИЯ ТАКИХ БЛОКОВ И ИЗДЕЛИЙ"
2017108765.0,2018-09-17,ШТИФТ ТЕЛЕСКОПИЧЕСКИЙ
2017105640.0,2018-08-20,Общественный туалет с играющим фонтаном и способ его эксплуатации
2016145750.0,2018-05-22,Способ построения усиленно-силового электронно-оптического запорно-пломбировочного устройства канатного типа и запирания в нем каната
2016152093.0,2018-07-18,ПРИСПОСОБЛЕНИЕ ДЛЯ НАДЕЖНОГО БЛОКИРОВАНИЯ ЗАМКА
2019108638.0,2020-09-28,Способ предотвращения выноса твердых частиц из скважины с использованием фильтроэлемента
2016151644.0,2018-07-03,"ДВЕРНАЯ ПЕТЛЯ, ПРИМЕНЯЕМАЯ В ТРАНСПОРТНЫХ СРЕДСТВАХ С ПРИЦЕПАМИ И ПОЛУПРИЦЕПАМИ"
2020111881.0,2020-08-04,"Сиденье для унитаза и унитаз, реализующий это сиденье"
2017116705.0,2018-11-14,КОМПОЗИТНЫЙ ПРЯМОУГОЛЬНЫЙ КОЛЛЕКТОР И СПОСОБ РЕМОНТА ПОДЗЕМНЫХ ПРЯМОУГОЛЬНЫХ КОЛЛЕКТОРОВ
2016142339.0,2018-07-10,Технология автоматического открывания двери подъезда жилого дома
2017102395.0,2018-07-26,УСТРОЙСТВО ДЛЯ СЕПАРАЦИИ ПРИМЕСЕЙ
2016129025.0,2018-01-18,"Устройство предотвращения нанесения окружающим и себе самому ущерба человеком, находящимся в состоянии опьянения"
2016145413.0,2018-06-25,БЛОКИРУЮЩЕЕ УСТРОЙСТВО ДЛЯ ПРИСЛОННО-СДВИЖНЫХ ДВЕРЕЙ ТРАНСПОРТНЫХ СРЕДСТВ ОБЩЕСТВЕННОГО ПАССАЖИРСКОГО ТРАНСПОРТА И ПРИСЛОННО-СДВИЖНАЯ ДВЕРЬ С БЛОКИРУЮЩИМ УСТРОЙСТВОМ
2017131592.0,2019-03-13,ПОДДЕРЖИВАЮЩЕЕ УСТРОЙСТВО ДЛЯ ОТКИДНОЙ ДВЕРЦЫ ПРЕДМЕТА МЕБЕЛИ
2016150185.0,2018-06-25,ЭЛЕКТРОННАЯ СХЕМА НАДЕЖНОГО ЗАКРЫВАНИЯ МОТОРНО-ПРИВОДНОЙ ДВЕРИ РЕЛЬСОВОГО ТРАНСПОРТНОГО СРЕДСТВА
2018129574.0,2020-02-17,ПОДПРУЖИНЕННАЯ ЗАЩЕЛКА ДЛЯ ЗАМКОВ
2017129928.0,2019-03-19,ШАРНИРНАЯ ФУРНИТУРА
2018130100.0,2020-02-21,ДВЕРНОЕ УСТРОЙСТВО
2017129986.0,2019-02-25,ЗАМОК ПРОТИВОПОЖАРНОЙ ДВЕРИ С УСТРОЙСТВОМ БЛОКИРОВКИ ЗАЩЕЛКИ
2019117445.0,2020-12-04,ЭНЕРГОНЕЗАВИСИМЫЙ ЭЛЕКТРОМЕХАНИЧЕСКИЙ ЗАМОК
2018101309.0,2019-08-14,ПЕТЛЯ
2018101964.0,2019-07-18,ФУРНИТУРА ПРИВОДНОЙ ШТАНГИ
2016131434.0,2018-02-19,"КОНСТРУКЦИЯ РАЗДВИЖНОЙ ДВЕРИ С РАЗДВИЖНЫМИ СТВОРКАМИ, РАСПОЛОЖЕННЫМИ В ОБЩЕЙ ПЛОСКОСТИ"
2019115740.0,2020-12-28,ДВЕРЬ НА МАГНИТНОЙ ПОДВЕСКЕ
