doc_n,date,title
2016147083.0,2018-06-05,КОМПОЗИЦИИ И СПОСОБЫ ДЛЯ АНТИ-LYST ИММУНОМОДУЛЯЦИИ
2016136022.0,2018-03-13,"СПОСОБ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ, ТРАВМ ПЕРИФЕРИЧЕСКОЙ НЕРВНОЙ СИСТЕМЫ, ИХ ПОСЛЕДСТВИЙ И ПОСЛЕДСТВИЙ НАРУШЕНИЙ СПИНАЛЬНОГО МОЗГОВОГО КРОВООБРАЩЕНИЯ И СПИНАЛЬНЫХ ТРАВМ"
2016127149.0,2018-01-12,СПОСОБ ЛЕЧЕНИЯ МЕТАДОНОВОЙ ЗАВИСИМОСТИ
2017107797.0,2018-09-10,СПОСОБ ПРЕДОТВРАЩЕНИЯ ЯТРОГЕННЫХ РАЗРЫВОВ ПЛОДНЫХ ОБОЛОЧЕК И ИЗЛИТИЯ АМНИОТИЧЕСКОЙ ЖИДКОСТИ ПРИ ПРОВЕДЕНИИ ФЕТАЛЬНОЙ ХИРУРГИИ И АМНИОТИЧЕСКИЙ КАТЕТЕР ДЛЯ ЕГО ОСУЩЕСТВЛЕНИЯ
2016134712.0,2018-03-01,Способ проведения кросслинкинга у пациентов с кератоконусом при толщине деэпителизированной роговицы менее 400 мкм
2016145884.0,2018-05-23,СПОСОБ ВЫПОЛНЕНИЯ ЛАПАРОСКОПИЧЕСКИХ ОПЕРАЦИЙ В УСЛОВИЯХ НИЗКОГО ВНУТРИБРЮШНОГО ДАВЛЕНИЯ У ПАЦИЕНТОВ ГРУППЫ ВЫСОКОГО РИСКА
2016133733.0,2018-02-21,"НЕИНВАЗИВНЫЕ СПОСОБЫ ПРОФИЛАКТИКИ, ОБНАРУЖЕНИЯ, ЛЕЧЕНИЯ, ЗАЖИВЛЕНИЯ И ПАЛЛИАТИВНОЙ ПОМОЩИ ПРИ НЕОПЛАСТИЧЕСКИХ ПРОЦЕССАХ В ОРГАНИЗМЕ ЧЕЛОВЕКА"
2016133732.0,2018-02-22,"НЕИНВАЗИВНЫЕ СПОСОБЫ ПРОФИЛАКТИКИ, ЛЕЧЕНИЯ, ЗАЖИВЛЕНИЯ И ПАЛЛИАТИВНОГО ЛЕЧЕНИЯ НЕОПЛАСТИЧЕСКИХ ПРОЦЕССОВ У СОБАК И КОШЕК"
2017120883.0,2018-12-14,"СПОСОБ ЛЕЧЕНИЯ ЦЕРВИКАЛЬНЫХ ИНТРАЭПИТЕЛИАЛЬНЫХ НЕОПЛАЗИЙ I СТЕПЕНИ, АССОЦИИРОВАННЫХ С ВПЧ ВЫСОКОГО ОНКОГЕННОГО РИСКА, С ИСПОЛЬЗОВАНИЕМ КАВИТИРОВАННОГО РАСТВОРА ПАНАВИРА"
2017109316.0,2018-09-20,Материал для пластики окончатых дефектов трахеи и бронхов
2017122510.0,2018-12-26,Способ лечения рестенозов после операций на внутренней сонной артерии
2017118944.0,2018-12-03,Способ хирургического лечения глаукомы
2700032.0,2019-09-12,АКРИЛОВЫЕ ПОЛИМЕРЫ И ИХ ПРИМЕНЕНИЕ ПРИ ТРАНСДЕРМАЛЬНОЙ ДОСТАВКЕ ЛЕКАРСТВЕННОГО СРЕДСТВА
2017119782.0,2018-12-07,СПОСОБ ОПЕРАТИВНОГО ЛЕЧЕНИЯ ГИПЕРМОБИЛЬНОСТИ И ЭКТОПИИ МОЧЕИСПУСКАТЕЛЬНОГО КАНАЛА
2017102158.0,2018-07-23,Способ профилактики тромбоза у пациентов с центральным венозным катетером
2017119625.0,2018-12-05,СПОСОБ МЕСТНОГО ЛЕЧЕНИЯ ОЖОГОВ II-IIIA СТЕПЕНИ ЭРИТРОПОЭТИНОМ В ЭКСПЕРИМЕНТЕ
2017108177.0,2018-09-13,"Вводимый местным путем фармацевтический агент, способ визуализации посредством его введения и содержащий его набор"
2017109542.0,2018-09-21,Способ профилактики воздушной эмболии при операциях на сердце в условиях искусственного кровообращения
2700926.0,2019-09-24,"ТРАНСДЕРМАЛЬНЫЕ СИСТЕМЫ, ПРЕДОТВРАЩАЮЩИЕ ЗЛОУПОТРЕБЛЕНИЕ И НЕПРАВИЛЬНОЕ УПОТРЕБЛЕНИЕ"
2016126364.0,2018-01-12,ПРОТИВООЖОГОВЫЙ ГИДРОГЕЛЬ И СПОСОБ ЕГО ПРИГОТОВЛЕНИЯ
2016130029.0,2018-01-25,"Способ лечения заболеваний глаз посредством парабульбарного введения диспергированного биоматериала ""Аллоплант"""
2016144494.0,2018-05-14,СПОСОБ БИОУПРАВЛЯЕМОЙ ГИДРОЛАЗЕРНОЙ ТЕРАПИИ
2016137676.0,2018-03-26,Ортез для лечения пареза стопы
2017120421.0,2018-12-10,СПОСОБ БИОУПРАВЛЯЕМОЙ ЛАЗЕРНОЙ АКУПУНКТУРЫ
2016134350.0,2018-03-02,Способ чрескожного введения лекарственных средств (варианты)
2016152670.0,2018-07-02,СПОСОБ ПРОФИЛАКТИКИ ГИПЕРТОНИЧЕСКОЙ БОЛЕЗНИ
2017110706.0,2018-10-01,СПОСОБ ФОРМИРОВАНИЯ И ГЕРМЕТИЗАЦИИ АНАСТОМОЗОВ
2017104818.0,2018-08-14,Способ предупреждения нарушений фертильной функции у мужчин при герниопластике паховых грыж
2016151715.0,2018-07-02,Способ ультразвуковой фистулографии у пациентов с наружным свищем паренхиматозного или полого органа
2700980.0,2019-09-24,"УПРАВЛЕНИЕ ДЕЙСТВИЯМИ, ВЫПОЛНЯЕМЫМИ С ДЕИДЕНТИФИЦИРОВАННЫМИ ДАННЫМИ О ПАЦИЕНТЕ В ОБЛАЧНОЙ СИСТЕМЕ ПОДДЕРЖКИ ПРИНЯТИЯ КЛИНИЧЕСКИХ РЕШЕНИЙ (СППКР)"
2700498.0,2019-09-20,Персональная система экстренного реагирования с прогностической оценкой риска экстренного вызова
2017119949.0,2018-12-07,Способ лечения стенотической формы болезни Крона
2016128128.0,2018-01-16,Способ лечения крауроза вульвы женщин менопаузального и постменопаузального периода
2016148164.0,2018-06-08,СПОСОБ ПОЛУЧЕНИЯ ТРАНСПЛАНТАТА ДЛЯ ЛЕЧЕНИЯ ЛИМБАЛЬНОЙ НЕДОСТАТОЧНОСТИ
2700414.0,2019-09-17,"ИМПЛАНТАТ, СОДЕРЖАЩИЙ FGF-18"
2016125749.0,2018-01-11,"ФАРМАЦЕВТИЧЕСКИЙ КОМБИНИРОВАННЫЙ СОСТАВ, СОДЕРЖАЩИЙ АМЛОДИПИН, ЛОЗАРТАН И РОЗУВАСТАТИН"
2016134676.0,2018-03-01,"СПОСОБ ЛЕЧЕНИЯ ХРОНИЧЕСКОГО АБАКТЕРИАЛЬНОГО ПРОСТАТИТА/СИНДРОМА ХРОНИЧЕСКОЙ ТАЗОВОЙ БОЛИ, СОЧЕТАННОГО С ЭРЕКТИЛЬНОЙ ДИСФУНКЦИЕЙ"
2016143707.0,2018-05-07,СПОСОБ ПРОФИЛАКТИКИ И ЛЕЧЕНИЯ ХРОНИЧЕСКОЙ БОЛИ В НИЖНЕЙ ЧАСТИ СПИНЫ
2016143779.0,2018-05-08,Способ коррекции энтеральной недостаточности при перитоните
2016144450.0,2018-05-14,СПОСОБ (ВАРИАНТЫ) И СИСТЕМА РЕАБИЛИТАЦИИ ПАЦИЕНТОВ С НАРУШЕНИЯМИ ОПОРНО-ДВИГАТЕЛЬНОГО АППАРАТА
2017111550.0,2018-10-05,ЭЛЕКТРОФИЗИЧЕСКИЙ СПОСОБ ЛЕЧЕНИЯ КОМПЬЮТЕРНОГО ЗРИТЕЛЬНОГО СИНДРОМА И АСТЕНОПИИ
2016144847.0,2018-05-17,"СИСТЕМА ИНТРАВЕНТРИКУЛЯРНОЙ ДОСТАВКИ ЛЕКАРСТВЕННОГО СРЕДСТВА ДЛЯ УЛУЧШЕНИЯ ИСХОДА ПОСЛЕ ПОВРЕЖДЕНИЯ ГОЛОВНОГО МОЗГА, НАРУШАЮЩЕГО МОЗГОВОЕ КРОВООБРАЩЕНИЕ"
2016131714.0,2018-02-06,Способ очищения и оздоровления организма
2016145688.0,2018-05-24,СПОСОБ ПСИХОЭМОЦИОНАЛЬНОЙ И ФИЗИЧЕСКОЙ САМОРЕГУЛЯЦИИ
2016139332.0,2018-04-06,СПОСОБ РЕАБИЛИТАЦИИ И СОЦИАЛЬНОЙ АДАПТАЦИИ
2017117302.0,2018-11-20,СПОСОБ И СИСТЕМА ИДЕНТИФИКАЦИИ ГРАНИЦЫ ПЕЧЕНИ
2016137503.0,2018-03-23,СПОСОБ РЕАБИЛИТАЦИИ ПРИ ПОВРЕЖДЕНИЯХ КОЛЕННОГО СУСТАВА
2016112938.0,2018-11-28,ГИДРОФИЛЬНЫЕ ГЕЛИ ИЗ ФОТОИНИЦИАТОРОВ НА ОСНОВЕ ПОЛИАЛКИЛОВЫХ ЭФИРОВ
2017105320.0,2018-08-17,СПОСОБ ЛЕЧЕНИЯ ПОСРЕДСТВОМ УЛЬТРАЗВУКОВЫХ КОЛЕБАНИЙ
2017107592.0,2018-09-07,СПОСОБ РЕАБИЛИТАЦИИ БОЛЬНЫХ С НЕВРОЗАМИ
2016122910.0,2018-11-30,СПОСОБ ТОНИЗИРОВАНИЯ МЫШЦ ТАЗОВОГО ДНА
2016135457.0,2018-03-05,СПОСОБЫ ВОССТАНОВЛЕНИЯ ОРГАНОВ ДОПОЛНИТЕЛЬНОЙ СВЯЗЬЮ ИЛИ НЕЙРОННОЙ СЕТЬЮ
2016149905.0,2018-06-21,"СПОСОБ КОМПЛЕКСНОЙ МЕДИКО-БИОЛОГИЧЕСКОЙ СИСТЕМЫ ДИАГНОСТИКИ, ЛЕЧЕНИЯ И ПРОФИЛАКТИКИ ПАЦИЕНТОВ С ГЕНОМНОЙ ПАТОЛОГИЕЙ РОГОВИЦЫ"
2016148956.0,2018-06-14,Ортез для проведения операции на органах шеи с применением навигационной системы
2016129388.0,2018-01-23,СПОСОБ ОПРЕДЕЛЕНИЯ ДОЗЫ УЛЬТРАЗВУКА ПРИ ХИРУРГИИ ВОЗРАСТНЫХ КАТАРАКТ
2016151978.0,2018-06-27,Способ интраоперационной навигации в хирургическом лечении органов шеи
2701515.0,2019-09-27,ПРОИЗВОДНОЕ АЗОЛОБЕНЗОЛА И ЕГО КРИСТАЛЛИЧЕСКАЯ ФОРМА
