doc_n,date,title
2017115992.0,2018-11-13,СИСТЕМА И СПОСОБ УПРАВЛЕНИЯ НАПРАВЛЕНИЕМ ДЛЯ ГИБРИДНОГО ТРАНСПОРТНОГО СРЕДСТВА ВОЗДУШНОЙ И НАЗЕМНОЙ ТРАНСПОРТИРОВКИ
2017115995.0,2018-11-13,ЦЕНТРАЛЬНАЯ ПАНЕЛЬ КРЫЛА ДЛЯ ЛЕТАТЕЛЬНОГО АППАРАТА И СПОСОБ ДЛЯ ЕЕ УПРАВЛЕНИЯ
2016141872.0,2018-04-25,УСТРОЙСТВО ДЛЯ ТРАНСПОРТИРОВАНИЯ ВОЗДУШНЫХ СУДОВ
2016136689.0,2018-03-16,КРЕСЛО БОРТПРОВОДНИКА (ВАРИАНТЫ)
2017120202.0,2018-12-10,"Способ управления воздушным судном, система управления и воздушное судно"
2016148347.0,2018-06-08,Автоматический догружатель энергетического средства тракторно-транспортного агрегата
2016149718.0,2018-06-18,Догружающее устройство автопоезда
2016148511.0,2018-06-09,Цепной корректор веса колёсного энергетического средства
2016143960.0,2018-05-08,Корректор вертикальной нагрузки энергетического средства
2700155.0,2019-09-12,Способ реконфигурирования колеса и реконфигурируемое колесо для его осуществления
2018123931.0,2018-08-15,ГУСЕНИЧНОЕ ТРАНСПОРТНОЕ СРЕДСТВО
2016149572.0,2018-06-18,Вакуумный способ формирования тяги воздушного винта и сверхзвуковой винт Базиева Д.Х.
2016127999.0,2018-01-17,УСТРОЙСТВО ДЛЯ ПОЛУЧЕНИЯ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИИ НА СКОРОСТНОМ ТРАНСПОРТНОМ СРЕДСТВЕ ПРИ ЕГО ТОРМОЖЕНИИ
2017103194.0,2018-08-03,ТРАНСПОРТНАЯ СИСТЕМА СИРОТЫ
2016152673.0,2018-07-02,ГУСЕНИЧНАЯ МАШИНА С ДИФФЕРЕНЦИАЛЬНЫМ МЕХАНИЗМОМ ПОВОРОТА
2017118038.0,2018-11-26,ТОРМОЗНАЯ СИСТЕМА ГРУЗОВОГО ВАГОНА ДЛЯ ВЫСОКОСКОРОСТНЫХ ПЕРЕВОЗОК
2016144972.0,2018-05-16,СПОСОБ ПОВЫШЕНИЯ РЕАЛИЗУЕМОЙ СИЛЫ ТЯГИ ПО СЦЕПЛЕНИЮ
2016129093.0,2018-01-19,АВИАВАГОН НА ВОЗДУШНОЙ ПОДУШКЕ
2016137976.0,2018-03-29,"СПОСОБ УПРАВЛЕНИЯ ЖЕЛЕЗНОДОРОЖНЫМ ТРАНСПОРТНЫМ СРЕДСТВОМ И ЖЕЛЕЗНОДОРОЖНОЕ ТРАНСПОРТНОЕ СРЕДСТВО, РАБОТАЮЩЕЕ В СООТВЕТСТВИИ С ТАКИМ СПОСОБОМ"
2016141656.0,2018-04-24,Устройство для защиты осветительных приборов прицепов и полуприцепов гражданского назначения
2016141657.0,2018-04-24,Устройство для защиты осветительных приборов прицепов и полуприцепов гражданского назначения
2016127283.0,2018-01-12,ДВИЖИТЕЛЬ С МЕНЯЮЩИМИСЯ ЛОПАСТЯМИ
2016143618.0,2018-05-07,Резервированный электрогидравлический рулевой привод
2017118921.0,2018-11-30,КОЛЁСНО-ВИНТОВОЙ ДВИЖИТЕЛЬ ДЛЯ АМФИБИИ
2016130482.0,2018-01-31,"Электропоезд высокоскоростной, энергосберегающий, экологически чистый и безопасный для людей"
2017101955.0,2018-07-23,ЛЕТАМОБИЛЬ
2016151626.0,2018-07-02,УПЛОТНЕНИЕ ДЛЯ БОРТА
2017119431.0,2018-12-03,Двухосная тележка железнодорожного транспортного средства с блочными колесными парами
2017101388.0,2018-07-16,ПОДВИЖНОЙ СКЛАД ГОРЮЧЕ-СМАЗОЧНЫХ МАТЕРИАЛОВ
2016136433.0,2018-03-15,СИСТЕМА ТРАНСМИССИИ РЕЛЬСОФРЕЗЕРОВАЛЬНОЙ И РЕЛЬСОШЛИФОВАЛЬНОЙ МАШИНЫ
2017110047.0,2018-10-10,ТОПЛИВНЫЙ БАК И РАМА ДЛЯ СНЕГОХОДА
2016140389.0,2018-04-16,ЭКСПЛУАТАЦИЯ РЕЛЬСОВОГО ТРАНСПОРТНОГО СРЕДСТВА С УПРАВЛЕНИЕМ И/ИЛИ РЕГУЛИРОВАНИЕМ СИЛЫ ТЯГИ МЕЖДУ КОЛЕСОМ И ХОДОВЫМ РЕЛЬСОМ
2017121572.0,2018-12-20,Грузопроводная транспортная система с унитарным тягово-левитационным линейным электроприводом
2016149403.0,2018-06-18,ПРОФИЛЬ РАБОЧЕЙ ПОВЕРХНОСТИ ЖЕЛЕЗНОДОРОЖНОГО КОЛЕСА
2017114001.0,2018-10-25,АРМИРОВАННОЕ ВОЛОКНОМ ШАРНИРНОЕ УСТРОЙСТВО И СЦЕПЛЯЮЩЕЕ УСТРОЙСТВО ДЛЯ ПРИВОДА ТРАНСПОРТНОГО УСТРОЙСТВА
2017118212.0,2018-11-26,Устройство пневматического привода прислонно-сдвижной двери пассажирского вагона
2017122036.0,2018-12-24,СИСТЕМА РУЛЕВОГО УПРАВЛЕНИЯ С ГИДРАВЛИЧЕСКИМ УСИЛЕНИЕМ С ГИДРАВЛИЧЕСКИМ РАСПРЕДЕЛИТЕЛЕМ С РЕГУЛИРУЕМЫМ РАБОЧИМ ОБЪЕМОМ ДЛЯ МОДУЛЬНЫХ ТРЕЙЛЕРОВ
2016139864.0,2018-04-10,Малогабаритное модульное транспортное средство
